Gene Symbol,Subject_SampleSize_ANOVA_MLM_DF,Measurements_SampleSize_ANOVA_MLM_DF,DF_Diagnosis_ANOVA_MLM_DF,DF_AllOtherSubjectVar (7 covariates + intercept)_ANOVA_MLM_DF,DF_Card (# of Cards-1)_ANOVA_MLM_DF,(Intercept)_ANOVA_MLM_ChiSquareStat,Diagnosis_ANOVA_MLM_ChiSquareStat,Age_ANOVA_MLM_ChiSquareStat,Gender_ANOVA_MLM_ChiSquareStat,pH_ANOVA_MLM_ChiSquareStat,PMI_ANOVA_MLM_ChiSquareStat,Integrity_RIN_ANOVA_MLM_ChiSquareStat,RNA_Concentration_ANOVA_MLM_ChiSquareStat,Card_ANOVA_MLM_ChiSquareStat,(Intercept)_ANOVA_MLM_NominalPval,Diagnosis_ANOVA_MLM_NominalPval,Age_ANOVA_MLM_NominalPval,Gender_ANOVA_MLM_NominalPval,pH_ANOVA_MLM_NominalPval,PMI_ANOVA_MLM_NominalPval,Integrity_RIN_ANOVA_MLM_NominalPval,RNA_Concentration_ANOVA_MLM_NominalPval,Card_ANOVA_MLM_NominalPval,(Intercept)_ANOVA_MLM_FDR,Diagnosis_ANOVA_MLM_FDR,Age_ANOVA_MLM_FDR,Gender_ANOVA_MLM_FDR,pH_ANOVA_MLM_FDR,PMI_ANOVA_MLM_FDR,Integrity_RIN_ANOVA_MLM_FDR,RNA_Concentration_ANOVA_MLM_FDR,Card_ANOVA_MLM_FDR,Subject_SampleSize_PostHocSummary_MLM_DF,Measurements_SampleSize_PostHocSummary_MLM_DF,DF1_EachDiagnosis_PostHocSummary_MLM_DF,DF_AllOtherSubjectVar (7 covariates + intercept)_PostHocSummary_MLM_DF,DF_Card (# of Cards-1)_PostHocSummary_MLM_DF,"DF2_SubjectLevel (e.g., Diagnosis): 69 Subjects - 9 DF in Subject Level Var_PostHocSummary_MLM_DF","DF2_SampleLevel (e.g., Card, Intercept): SampleSize-(#Subjects)-(#Cards-1)_PostHocSummary_MLM_DF",(Intercept)_PostHocSummary_MLM_Beta,Diagnosis_BP_PostHocSummary_MLM_Beta,Diagnosis_Schiz_PostHocSummary_MLM_Beta,Age_PostHocSummary_MLM_Beta,Gender_F_PostHocSummary_MLM_Beta,pH_PostHocSummary_MLM_Beta,PMI_PostHocSummary_MLM_Beta,Integrity_RIN_PostHocSummary_MLM_Beta,RNA_Concentration_PostHocSummary_MLM_Beta,(Intercept)_PostHocSummary_MLM_SE,Diagnosis_BP_PostHocSummary_MLM_SE,Diagnosis_Schiz_PostHocSummary_MLM_SE,Age_PostHocSummary_MLM_SE,Gender_F_PostHocSummary_MLM_SE,pH_PostHocSummary_MLM_SE,PMI_PostHocSummary_MLM_SE,Integrity_RIN_PostHocSummary_MLM_SE,RNA_Concentration_PostHocSummary_MLM_SE,(Intercept)_PostHocSummary_MLM_Tstat,Diagnosis_BP_PostHocSummary_MLM_Tstat,Diagnosis_Schiz_PostHocSummary_MLM_Tstat,Age_PostHocSummary_MLM_Tstat,Gender_F_PostHocSummary_MLM_Tstat,pH_PostHocSummary_MLM_Tstat,PMI_PostHocSummary_MLM_Tstat,Integrity_RIN_PostHocSummary_MLM_Tstat,RNA_Concentration_PostHocSummary_MLM_Tstat,(Intercept)_PostHocSummary_MLM_NominalPval,Diagnosis_BP_PostHocSummary_MLM_NominalPval,Diagnosis_Schiz_PostHocSummary_MLM_NominalPval,Age_PostHocSummary_MLM_NominalPval,Gender_F_PostHocSummary_MLM_NominalPval,pH_PostHocSummary_MLM_NominalPval,PMI_PostHocSummary_MLM_NominalPval,Integrity_RIN_PostHocSummary_MLM_NominalPval,RNA_Concentration_PostHocSummary_MLM_NominalPval,(Intercept)_PostHocSummary_MLM_FDR,Diagnosis_BP_PostHocSummary_MLM_FDR,Diagnosis_Schiz_PostHocSummary_MLM_FDR,Age_PostHocSummary_MLM_FDR,Gender_F_PostHocSummary_MLM_FDR,pH_PostHocSummary_MLM_FDR,PMI_PostHocSummary_MLM_FDR,Integrity_RIN_PostHocSummary_MLM_FDR,RNA_Concentration_PostHocSummary_MLM_FDR
ABAT,69,133,2,1,35,1.023,12.804,0.245,0.734,0.194,0.982,0.088,0.935,357.921,3.117E-01,1.66E-03,6.20E-01,3.91E-01,6.60E-01,3.22E-01,7.66E-01,3.34E-01,3.61E-55,3.84E-01,4.95E-02,7.25E-01,7.24E-01,7.96E-01,4.58E-01,8.26E-01,4.67E-01,3.09E-54,69,133,1,1,35,60,29,0.9227,0.1569,0.0837,-0.0007,-0.0532,0.0555,0.0027,0.0105,0.0003,1.11508,0.05445,0.05001,0.00174,0.07586,0.15420,0.00335,0.04332,0.00036,0.828,2.881,1.674,-0.405,-0.701,0.360,0.811,0.243,0.791,4.11E-01,5.50E-03,9.93E-02,6.87E-01,4.86E-01,7.20E-01,4.21E-01,8.09E-01,4.32E-01,4.96E-01,2.03E-01,5.25E-01,7.94E-01,8.96E-01,8.66E-01,5.99E-01,8.63E-01,6.03E-01
ADCY7,69,133,2,1,35,1.349,1.318,31.474,2.438,0.811,2.893,5.776,1.567,281.493,2.454E-01,5.17E-01,2.02E-08,1.18E-01,3.68E-01,8.90E-02,1.62E-02,2.11E-01,2.79E-40,3.20E-01,7.27E-01,2.81E-07,5.71E-01,5.52E-01,1.94E-01,5.14E-02,3.48E-01,1.47E-39,69,133,1,1,35,60,29,-2.0974,0.0905,0.0722,-0.0157,-0.1930,0.2248,-0.0093,-0.1691,-0.0007,2.20718,0.10741,0.09903,0.00343,0.15108,0.30512,0.00666,0.08603,0.00071,-0.950,0.843,0.730,-4.589,-1.277,0.737,-1.391,-1.966,-1.024,3.46E-01,4.03E-01,4.69E-01,2.32E-05,2.06E-01,4.64E-01,1.69E-01,5.39E-02,3.10E-01,4.46E-01,6.99E-01,8.32E-01,2.86E-04,8.42E-01,6.87E-01,3.61E-01,1.64E-01,5.01E-01
ADORA1,69,133,2,1,35,10.503,0.040,8.821,0.105,2.166,0.149,15.537,0.060,152.481,1.192E-03,9.80E-01,2.98E-03,7.46E-01,1.41E-01,7.00E-01,8.09E-05,8.07E-01,1.31E-16,3.23E-03,9.80E-01,8.93E-03,9.03E-01,3.20E-01,8.18E-01,9.98E-04,8.22E-01,1.96E-16,69,133,1,1,35,60,29,-4.3524,0.0000,0.0109,-0.0062,-0.0297,0.2733,-0.0016,0.2057,-0.0001,1.64176,0.08016,0.07364,0.00257,0.11172,0.22703,0.00494,0.06380,0.00053,-2.651,0.000,0.148,-2.430,-0.265,1.204,-0.315,3.224,-0.200,1.02E-02,1.00E+00,8.83E-01,1.81E-02,7.92E-01,2.33E-01,7.54E-01,2.04E-03,8.42E-01,2.47E-02,1.00E+00,9.33E-01,5.30E-02,9.48E-01,5.08E-01,8.71E-01,2.27E-02,8.57E-01
ADORA2A,69,133,2,1,35,1.047,0.790,11.118,2.534,0.203,0.377,5.732,0.686,158.380,3.062E-01,6.74E-01,8.55E-04,1.11E-01,6.53E-01,5.39E-01,1.67E-02,4.08E-01,1.27E-17,3.82E-01,8.27E-01,2.97E-03,5.69E-01,7.96E-01,6.58E-01,5.14E-02,5.30E-01,2.10E-17,69,133,1,1,35,60,29,-1.8487,-0.0408,-0.0716,-0.0093,-0.1972,-0.1124,-0.0034,-0.1687,-0.0005,2.20859,0.10732,0.09911,0.00342,0.15147,0.30524,0.00667,0.08616,0.00071,-0.837,-0.380,-0.722,-2.728,-1.302,-0.368,-0.502,-1.958,-0.677,4.06E-01,7.05E-01,4.73E-01,8.36E-03,1.98E-01,7.14E-01,6.17E-01,5.48E-02,5.01E-01,4.95E-01,9.21E-01,8.32E-01,2.73E-02,8.42E-01,8.66E-01,7.53E-01,1.64E-01,6.31E-01
ALDH5A1,69,133,2,1,35,0.892,3.620,0.024,0.353,0.019,0.227,0.724,19.348,383.871,3.450E-01,1.64E-01,8.76E-01,5.53E-01,8.89E-01,6.34E-01,3.95E-01,1.09E-05,2.64E-60,4.12E-01,4.37E-01,9.17E-01,8.51E-01,9.45E-01,7.65E-01,5.47E-01,4.03E-04,3.26E-59,69,133,1,1,35,60,29,-0.6976,0.0631,0.0467,0.0002,0.0299,-0.0142,0.0011,-0.0244,0.0011,0.90304,0.04409,0.04050,0.00141,0.06145,0.12488,0.00272,0.03509,0.00029,-0.773,1.431,1.154,0.128,0.486,-0.114,0.390,-0.696,3.598,4.43E-01,1.58E-01,2.53E-01,8.99E-01,6.29E-01,9.10E-01,6.98E-01,4.89E-01,6.50E-04,5.29E-01,5.99E-01,7.81E-01,9.41E-01,9.29E-01,9.55E-01,8.42E-01,6.68E-01,1.80E-02
SST,69,133,2,1,35,2.718,12.212,16.033,5.139,2.012,0.109,4.231,0.983,106.262,9.923E-02,2.23E-03,6.23E-05,2.34E-02,1.56E-01,7.42E-01,3.97E-02,3.21E-01,4.15E-09,1.43E-01,4.95E-02,3.17E-04,3.71E-01,3.33E-01,8.39E-01,1.05E-01,4.57E-01,4.95E-09,69,133,1,1,35,60,29,-5.0150,-0.3078,-0.4670,-0.0188,-0.4733,0.5963,-0.0030,0.2442,0.0010,3.71860,0.18056,0.16687,0.00575,0.25522,0.51387,0.01123,0.14512,0.00119,-1.349,-1.704,-2.798,-3.275,-1.854,1.160,-0.270,1.683,0.811,1.83E-01,9.35E-02,6.89E-03,1.76E-03,6.86E-02,2.51E-01,7.88E-01,9.77E-02,4.20E-01,2.60E-01,5.99E-01,3.35E-01,8.15E-03,8.42E-01,5.15E-01,8.88E-01,2.52E-01,5.98E-01
PVALB,69,133,2,1,35,18.751,3.061,0.554,1.165,6.891,3.176,8.646,1.174,143.904,1.489E-05,2.16E-01,4.57E-01,2.80E-01,8.66E-03,7.47E-02,3.28E-03,2.79E-01,3.73E-15,1.10E-04,4.91E-01,5.76E-01,6.68E-01,6.87E-02,1.73E-01,1.76E-02,4.19E-01,5.37E-15,69,133,1,1,35,60,29,-7.2237,-0.0794,-0.1293,0.0019,-0.1232,0.6054,0.0090,0.1912,-0.0006,2.03927,0.09926,0.09150,0.00317,0.13955,0.28192,0.00615,0.07948,0.00066,-3.542,-0.800,-1.413,0.609,-0.883,2.147,1.458,2.405,-0.886,7.75E-04,4.27E-01,1.63E-01,5.45E-01,3.81E-01,3.58E-02,1.50E-01,1.93E-02,3.79E-01,4.93E-03,7.18E-01,6.55E-01,6.79E-01,8.42E-01,2.84E-01,3.47E-01,9.80E-02,5.70E-01
BDNF,69,133,2,1,35,3.424,7.110,6.095,1.164,0.878,1.991,0.631,8.705,312.838,6.427E-02,2.86E-02,1.36E-02,2.81E-01,3.49E-01,1.58E-01,4.27E-01,3.17E-03,2.45E-46,9.91E-02,2.44E-01,3.20E-02,6.68E-01,5.38E-01,2.71E-01,5.64E-01,1.96E-02,1.60E-45,69,133,1,1,35,60,29,-5.6101,-0.2369,-0.3545,-0.0116,0.2247,0.3926,0.0129,0.0940,0.0029,3.70647,0.17987,0.16633,0.00573,0.25454,0.51214,0.01120,0.14468,0.00119,-1.514,-1.317,-2.131,-2.020,0.883,0.767,1.154,0.650,2.413,1.35E-01,1.93E-01,3.72E-02,4.79E-02,3.81E-01,4.46E-01,2.53E-01,5.18E-01,1.89E-02,2.06E-01,5.99E-01,3.35E-01,1.11E-01,8.42E-01,6.79E-01,4.10E-01,6.85E-01,1.16E-01
CACNA1A,69,133,2,1,35,0.070,0.259,13.395,1.061,0.000,4.125,2.952,1.926,257.409,7.918E-01,8.79E-01,2.52E-04,3.03E-01,9.82E-01,4.22E-02,8.58E-02,1.65E-01,1.09E-35,8.45E-01,9.03E-01,1.00E-03,6.68E-01,9.82E-01,1.23E-01,2.03E-01,3.03E-01,4.19E-35,69,133,1,1,35,60,29,0.2709,-0.0171,-0.0223,-0.0058,-0.0724,0.0032,0.0063,-0.0687,0.0005,1.25460,0.06105,0.05629,0.00195,0.08589,0.17343,0.00379,0.04890,0.00040,0.216,-0.281,-0.397,-2.994,-0.843,0.018,1.662,-1.405,1.135,8.30E-01,7.80E-01,6.93E-01,4.00E-03,4.03E-01,9.86E-01,1.02E-01,1.65E-01,2.61E-01,8.86E-01,9.33E-01,8.81E-01,1.48E-02,8.44E-01,9.86E-01,2.83E-01,3.81E-01,4.50E-01
CACNA1B,69,133,2,1,35,15.376,3.124,5.606,5.689,4.908,7.338,2.444,1.004,210.463,8.809E-05,2.10E-01,1.79E-02,1.71E-02,2.67E-02,6.75E-03,1.18E-01,3.16E-01,6.38E-27,3.91E-04,4.91E-01,4.05E-02,3.45E-01,1.19E-01,6.25E-02,2.47E-01,4.56E-01,1.68E-26,69,133,1,1,35,60,29,-3.5924,0.0788,0.0261,-0.0034,-0.1492,0.2806,0.0075,0.0558,0.0003,1.11991,0.05459,0.05024,0.00174,0.07646,0.15485,0.00337,0.04359,0.00036,-3.208,1.443,0.519,-1.937,-1.951,1.812,2.216,1.279,0.820,2.15E-03,1.54E-01,6.06E-01,5.75E-02,5.57E-02,7.50E-02,3.05E-02,2.06E-01,4.16E-01,8.22E-03,5.99E-01,8.66E-01,1.30E-01,8.42E-01,3.25E-01,2.24E-01,4.31E-01,5.98E-01
CDK5R1,69,133,2,1,35,2.115,2.614,15.145,0.103,0.333,4.606,2.155,0.204,118.897,1.459E-01,2.71E-01,9.96E-05,7.48E-01,5.64E-01,3.19E-02,1.42E-01,6.51E-01,4.57E-11,1.95E-01,5.46E-01,4.60E-04,9.03E-01,7.63E-01,1.07E-01,2.87E-01,7.33E-01,5.70E-11,69,133,1,1,35,60,29,1.4389,0.0706,0.0562,-0.0060,-0.0216,0.0790,0.0064,-0.0565,0.0001,1.21177,0.06016,0.05433,0.00190,0.08228,0.16759,0.00364,0.04711,0.00040,1.187,1.173,1.035,-3.178,-0.262,0.471,1.752,-1.199,0.369,2.40E-01,2.46E-01,3.05E-01,2.36E-03,7.94E-01,6.39E-01,8.49E-02,2.35E-01,7.13E-01,3.21E-01,5.99E-01,7.91E-01,1.01E-02,9.48E-01,8.55E-01,2.59E-01,4.67E-01,8.01E-01
CALB1,69,133,2,1,35,2.323,2.201,75.936,0.555,0.612,0.048,1.101,0.000,198.640,1.275E-01,3.33E-01,2.93E-18,4.56E-01,4.34E-01,8.27E-01,2.94E-01,9.98E-01,9.17E-25,1.79E-01,6.34E-01,1.63E-16,7.86E-01,6.18E-01,9.00E-01,4.68E-01,9.98E-01,1.99E-24,69,133,1,1,35,60,29,-2.6832,0.1239,0.0239,-0.0238,-0.0896,0.1904,-0.0012,0.0720,0.0000,2.15199,0.10481,0.09655,0.00335,0.14713,0.29753,0.00649,0.08383,0.00069,-1.247,1.182,0.247,-7.128,-0.609,0.640,-0.179,0.858,0.002,2.17E-01,2.42E-01,8.05E-01,1.51E-09,5.45E-01,5.25E-01,8.59E-01,3.94E-01,9.99E-01,3.02E-01,5.99E-01,9.33E-01,8.38E-08,8.96E-01,7.47E-01,9.32E-01,6.16E-01,9.99E-01
DLG4,69,133,2,1,35,0.050,2.018,34.147,6.739,4.045,6.697,1.041,11.389,334.283,8.228E-01,3.65E-01,5.11E-09,9.43E-03,4.43E-02,9.66E-03,3.07E-01,7.39E-04,1.60E-50,8.70E-01,6.34E-01,9.45E-08,2.62E-01,1.59E-01,7.15E-02,4.68E-01,9.11E-03,1.11E-49,69,133,1,1,35,60,29,0.2125,0.0653,0.0186,-0.0087,-0.1679,0.2639,0.0074,-0.0377,0.0010,1.16006,0.05660,0.05204,0.00181,0.07906,0.16042,0.00349,0.04511,0.00038,0.183,1.154,0.358,-4.780,-2.124,1.645,2.117,-0.835,2.761,8.55E-01,2.53E-01,7.22E-01,1.17E-05,3.78E-02,1.05E-01,3.84E-02,4.07E-01,7.64E-03,9.04E-01,5.99E-01,8.90E-01,1.86E-04,8.40E-01,3.54E-01,2.24E-01,6.19E-01,9.28E-02
GABBR1,69,133,2,1,35,4.038,1.691,16.800,2.194,0.260,4.548,0.047,9.086,204.276,4.448E-02,4.29E-01,4.15E-05,1.39E-01,6.10E-01,3.30E-02,8.29E-01,2.58E-03,8.64E-26,7.16E-02,6.90E-01,2.31E-04,5.99E-01,7.94E-01,1.08E-01,8.68E-01,1.79E-02,2.04E-25,69,133,1,1,35,60,29,1.5049,0.0470,0.0123,-0.0048,-0.0756,0.0528,0.0048,0.0063,0.0007,0.91546,0.04467,0.04106,0.00143,0.06239,0.12659,0.00276,0.03560,0.00030,1.644,1.052,0.299,-3.353,-1.212,0.417,1.744,0.177,2.466,1.05E-01,2.97E-01,7.66E-01,1.39E-03,2.30E-01,6.78E-01,8.62E-02,8.60E-01,1.65E-02,1.66E-01,5.99E-01,9.17E-01,7.01E-03,8.42E-01,8.66E-01,2.59E-01,9.01E-01,1.15E-01
GABBR2,69,133,2,1,35,9.803,1.702,7.516,1.233,7.370,1.896,6.301,5.546,465.125,1.742E-03,4.27E-01,6.11E-03,2.67E-01,6.63E-03,1.69E-01,1.21E-02,1.85E-02,1.40E-76,4.12E-03,6.90E-01,1.58E-02,6.68E-01,6.13E-02,2.79E-01,4.32E-02,6.16E-02,3.89E-75,69,133,1,1,35,60,29,-2.9931,0.0608,0.0206,-0.0041,0.0723,0.3589,0.0040,0.0933,0.0007,1.16861,0.05704,0.05242,0.00183,0.07958,0.16160,0.00352,0.04543,0.00038,-2.561,1.066,0.393,-2.243,0.908,2.221,1.126,2.053,1.927,1.30E-02,2.91E-01,6.96E-01,2.86E-02,3.67E-01,3.01E-02,2.64E-01,4.44E-02,5.88E-02,2.82E-02,5.99E-01,8.81E-01,7.39E-02,8.42E-01,2.57E-01,4.13E-01,1.49E-01,1.83E-01
GABRA1,69,133,2,1,35,8.933,2.989,0.000,0.326,3.165,5.889,12.782,2.646,361.521,2.801E-03,2.24E-01,1.00E+00,5.68E-01,7.52E-02,1.52E-02,3.50E-04,1.04E-01,7.04E-56,6.10E-03,4.91E-01,1.00E+00,8.51E-01,2.06E-01,7.51E-02,2.59E-03,2.31E-01,6.51E-55,69,133,1,1,35,60,29,-4.1675,0.1005,-0.0121,0.0000,-0.0544,0.3430,0.0102,0.1942,0.0007,1.70456,0.08302,0.07647,0.00265,0.11653,0.23567,0.00514,0.06640,0.00055,-2.445,1.210,-0.158,0.000,-0.467,1.455,1.985,2.925,1.331,1.74E-02,2.31E-01,8.75E-01,1.00E+00,6.42E-01,1.51E-01,5.17E-02,4.86E-03,1.88E-01,3.65E-02,5.99E-01,9.33E-01,1.00E+00,9.29E-01,4.05E-01,2.24E-01,3.60E-02,3.94E-01
GABRA2,69,133,2,1,35,0.221,0.483,7.829,0.821,2.302,0.097,12.865,8.856,249.544,6.379E-01,7.85E-01,5.14E-03,3.65E-01,1.29E-01,7.55E-01,3.35E-04,2.92E-03,3.36E-34,7.01E-01,8.58E-01,1.46E-02,7.11E-01,2.99E-01,8.39E-01,2.59E-03,1.91E-02,1.17E-33,69,133,1,1,35,60,29,0.5473,0.0375,0.0041,-0.0051,-0.0718,-0.2440,-0.0011,0.1622,0.0011,1.42154,0.06936,0.06377,0.00222,0.09688,0.19657,0.00428,0.05528,0.00046,0.385,0.540,0.064,-2.289,-0.741,-1.241,-0.255,2.934,2.434,7.02E-01,5.91E-01,9.49E-01,2.56E-02,4.62E-01,2.19E-01,7.99E-01,4.73E-03,1.79E-02,7.71E-01,8.81E-01,9.61E-01,7.11E-02,8.94E-01,4.87E-01,8.88E-01,3.60E-02,1.16E-01
GABRA4,69,133,2,1,35,13.506,5.454,1.469,0.003,6.065,2.959,17.089,5.941,300.922,2.378E-04,6.54E-02,2.26E-01,9.60E-01,1.38E-02,8.54E-02,3.57E-05,1.48E-02,5.02E-44,8.25E-04,3.02E-01,3.43E-01,9.87E-01,9.59E-02,1.90E-01,4.98E-04,5.77E-02,3.09E-43,69,133,1,1,35,60,29,-3.4079,0.0814,-0.0252,-0.0018,0.0032,0.3158,0.0048,0.1489,0.0007,1.13362,0.05536,0.05084,0.00177,0.07711,0.15676,0.00341,0.04404,0.00037,-3.006,1.470,-0.496,-0.991,0.041,2.015,1.407,3.382,1.994,3.86E-03,1.47E-01,6.22E-01,3.25E-01,9.67E-01,4.84E-02,1.65E-01,1.27E-03,5.07E-02,1.26E-02,5.99E-01,8.66E-01,4.75E-01,9.94E-01,3.22E-01,3.58E-01,1.77E-02,1.83E-01
GABRA5,69,133,2,1,35,1.891,3.022,33.283,1.566,2.547,7.472,0.025,3.853,164.952,1.691E-01,2.21E-01,7.97E-09,2.11E-01,1.11E-01,6.27E-03,8.73E-01,4.97E-02,9.19E-19,2.23E-01,4.91E-01,1.26E-07,6.50E-01,2.73E-01,6.25E-02,9.06E-01,1.25E-01,1.57E-18,69,133,1,1,35,60,29,-1.9108,0.1067,0.0825,-0.0124,-0.1192,0.3065,0.0115,-0.0086,0.0009,1.69877,0.08259,0.07622,0.00263,0.11642,0.23480,0.00513,0.06625,0.00055,-1.125,1.291,1.082,-4.719,-1.024,1.305,2.236,-0.131,1.606,2.65E-01,2.02E-01,2.84E-01,1.46E-05,3.10E-01,1.97E-01,2.91E-02,8.97E-01,1.14E-01,3.50E-01,5.99E-01,7.81E-01,2.03E-04,8.42E-01,4.74E-01,2.24E-01,9.30E-01,2.74E-01
GABRA6,69,133,2,1,35,16.214,0.748,1.656,2.591,1.284,2.960,0.283,0.155,220.715,5.658E-05,6.88E-01,1.98E-01,1.07E-01,2.57E-01,8.54E-02,5.94E-01,6.93E-01,8.23E-29,2.70E-04,8.27E-01,3.05E-01,5.69E-01,4.44E-01,1.90E-01,6.73E-01,7.59E-01,2.34E-28,69,133,1,1,35,60,29,-11.2757,0.1168,0.0577,0.0056,0.3089,0.4386,0.0145,0.0581,0.0004,3.42317,0.16645,0.15360,0.00531,0.23456,0.47316,0.01033,0.13349,0.00110,-3.294,0.702,0.376,1.053,1.317,0.927,1.407,0.436,0.322,1.66E-03,4.86E-01,7.09E-01,2.97E-01,1.93E-01,3.58E-01,1.65E-01,6.65E-01,7.48E-01,6.58E-03,7.69E-01,8.84E-01,4.45E-01,8.42E-01,6.06E-01,3.58E-01,7.53E-01,8.08E-01
GABRB1,69,133,2,1,35,4.206,6.953,0.091,0.866,5.763,0.927,1.856,11.726,374.584,4.027E-02,3.09E-02,7.63E-01,3.52E-01,1.64E-02,3.36E-01,1.73E-01,6.16E-04,1.84E-58,6.67E-02,2.45E-01,8.32E-01,7.02E-01,9.59E-02,4.72E-01,3.33E-01,8.55E-03,2.04E-57,69,133,1,1,35,60,29,2.0288,0.0663,0.1162,-0.0005,-0.0630,-0.3283,0.0029,-0.0525,0.0011,1.20922,0.05889,0.05425,0.00188,0.08268,0.16718,0.00365,0.04711,0.00039,1.678,1.127,2.142,-0.247,-0.761,-1.964,0.787,-1.115,2.801,9.86E-02,2.64E-01,3.62E-02,8.06E-01,4.49E-01,5.42E-02,4.34E-01,2.69E-01,6.84E-03,1.61E-01,5.99E-01,3.35E-01,8.79E-01,8.94E-01,3.22E-01,6.10E-01,5.01E-01,9.28E-02
GABRB3,69,133,2,1,35,8.673,5.635,17.673,0.108,5.097,3.254,7.181,5.571,151.405,3.230E-03,5.98E-02,2.62E-05,7.43E-01,2.40E-02,7.12E-02,7.37E-03,1.83E-02,2.00E-16,6.89E-03,3.02E-01,1.55E-04,9.03E-01,1.11E-01,1.68E-01,3.27E-02,6.16E-02,2.95E-16,69,133,1,1,35,60,29,-3.3413,0.1185,0.0929,-0.0074,0.0254,0.3542,0.0062,0.1183,0.0009,1.38693,0.06764,0.06222,0.00216,0.09460,0.19178,0.00418,0.05396,0.00045,-2.409,1.751,1.494,-3.439,0.268,1.847,1.476,2.192,1.931,1.91E-02,8.50E-02,1.40E-01,1.07E-03,7.89E-01,6.97E-02,1.45E-01,3.23E-02,5.82E-02,3.92E-02,5.99E-01,6.00E-01,5.96E-03,9.48E-01,3.22E-01,3.43E-01,1.26E-01,1.83E-01
GABRD,69,133,2,1,35,4.375,0.536,1.904,0.108,3.073,4.842,2.718,0.093,208.042,3.648E-02,7.65E-01,1.68E-01,7.43E-01,7.96E-02,2.78E-02,9.92E-02,7.61E-01,1.77E-26,6.23E-02,8.58E-01,2.70E-01,9.03E-01,2.06E-01,1.03E-01,2.25E-01,7.89E-01,4.57E-26,69,133,1,1,35,60,29,-2.7897,-0.0367,-0.0395,-0.0029,0.0298,0.3233,0.0088,0.0855,0.0001,1.63042,0.07953,0.07314,0.00254,0.11117,0.22545,0.00491,0.06343,0.00053,-1.711,-0.461,-0.540,-1.129,0.268,1.434,1.800,1.349,0.249,9.22E-02,6.47E-01,5.91E-01,2.64E-01,7.89E-01,1.57E-01,7.69E-02,1.82E-01,8.04E-01,1.55E-01,8.96E-01,8.66E-01,4.23E-01,9.48E-01,4.05E-01,2.59E-01,4.05E-01,8.29E-01
GABRE,69,133,2,1,35,4.118,1.195,1.822,0.022,0.194,1.470,1.847,1.169,175.557,4.244E-02,5.50E-01,1.77E-01,8.83E-01,6.59E-01,2.25E-01,1.74E-01,2.80E-01,1.26E-20,6.93E-02,7.44E-01,2.77E-01,9.80E-01,7.96E-01,3.43E-01,3.33E-01,4.19E-01,2.37E-20,69,133,1,1,35,60,29,-7.8989,0.1966,0.0228,-0.0081,0.0394,0.2372,0.0143,-0.2064,0.0014,4.75858,0.23112,0.21354,0.00737,0.32650,0.65761,0.01437,0.18568,0.00153,-1.660,0.851,0.107,-1.104,0.121,0.361,0.992,-1.112,0.885,1.02E-01,3.98E-01,9.15E-01,2.74E-01,9.04E-01,7.20E-01,3.25E-01,2.71E-01,3.80E-01,1.64E-01,6.99E-01,9.50E-01,4.28E-01,9.94E-01,8.66E-01,4.95E-01,5.01E-01,5.70E-01
