Gene Symbol,Subject_SampleSize_ANOVA_MLM_DF,Measurements_SampleSize_ANOVA_MLM_DF,DF_Diagnosis_ANOVA_MLM_DF,DF_AllOtherSubjectVar (7 covariates + intercept)_ANOVA_MLM_DF,DF_Card (# of Cards-1)_ANOVA_MLM_DF,(Intercept)_ANOVA_MLM_ChiSquareStat,Diagnosis_ANOVA_MLM_ChiSquareStat,Age_ANOVA_MLM_ChiSquareStat,Gender_ANOVA_MLM_ChiSquareStat,pH_ANOVA_MLM_ChiSquareStat,PMI_ANOVA_MLM_ChiSquareStat,Integrity_RIN_ANOVA_MLM_ChiSquareStat,RNA_Concentration_ANOVA_MLM_ChiSquareStat,Card_ANOVA_MLM_ChiSquareStat,(Intercept)_ANOVA_MLM_NominalPval,Diagnosis_ANOVA_MLM_NominalPval,Age_ANOVA_MLM_NominalPval,Gender_ANOVA_MLM_NominalPval,pH_ANOVA_MLM_NominalPval,PMI_ANOVA_MLM_NominalPval,Integrity_RIN_ANOVA_MLM_NominalPval,RNA_Concentration_ANOVA_MLM_NominalPval,Card_ANOVA_MLM_NominalPval,(Intercept)_ANOVA_MLM_FDR,Diagnosis_ANOVA_MLM_FDR,Age_ANOVA_MLM_FDR,Gender_ANOVA_MLM_FDR,pH_ANOVA_MLM_FDR,PMI_ANOVA_MLM_FDR,Integrity_RIN_ANOVA_MLM_FDR,RNA_Concentration_ANOVA_MLM_FDR,Card_ANOVA_MLM_FDR,Subject_SampleSize_PostHocSummary_MLM_DF,Measurements_SampleSize_PostHocSummary_MLM_DF,DF1_EachDiagnosis_PostHocSummary_MLM_DF,DF_AllOtherSubjectVar (7 covariates + intercept)_PostHocSummary_MLM_DF,DF_Card (# of Cards-1)_PostHocSummary_MLM_DF,"DF2_SubjectLevel (e.g., Diagnosis): 69 Subjects - 9 DF in Subject Level Var_PostHocSummary_MLM_DF","DF2_SampleLevel (e.g., Card, Intercept): SampleSize-(#Subjects)-(#Cards-1)_PostHocSummary_MLM_DF",(Intercept)_PostHocSummary_MLM_Beta,Diagnosis_BP_PostHocSummary_MLM_Beta,Diagnosis_Schiz_PostHocSummary_MLM_Beta,Age_PostHocSummary_MLM_Beta,Gender_F_PostHocSummary_MLM_Beta,pH_PostHocSummary_MLM_Beta,PMI_PostHocSummary_MLM_Beta,Integrity_RIN_PostHocSummary_MLM_Beta,RNA_Concentration_PostHocSummary_MLM_Beta,(Intercept)_PostHocSummary_MLM_SE,Diagnosis_BP_PostHocSummary_MLM_SE,Diagnosis_Schiz_PostHocSummary_MLM_SE,Age_PostHocSummary_MLM_SE,Gender_F_PostHocSummary_MLM_SE,pH_PostHocSummary_MLM_SE,PMI_PostHocSummary_MLM_SE,Integrity_RIN_PostHocSummary_MLM_SE,RNA_Concentration_PostHocSummary_MLM_SE,(Intercept)_PostHocSummary_MLM_Tstat,Diagnosis_BP_PostHocSummary_MLM_Tstat,Diagnosis_Schiz_PostHocSummary_MLM_Tstat,Age_PostHocSummary_MLM_Tstat,Gender_F_PostHocSummary_MLM_Tstat,pH_PostHocSummary_MLM_Tstat,PMI_PostHocSummary_MLM_Tstat,Integrity_RIN_PostHocSummary_MLM_Tstat,RNA_Concentration_PostHocSummary_MLM_Tstat,(Intercept)_PostHocSummary_MLM_NominalPval,Diagnosis_BP_PostHocSummary_MLM_NominalPval,Diagnosis_Schiz_PostHocSummary_MLM_NominalPval,Age_PostHocSummary_MLM_NominalPval,Gender_F_PostHocSummary_MLM_NominalPval,pH_PostHocSummary_MLM_NominalPval,PMI_PostHocSummary_MLM_NominalPval,Integrity_RIN_PostHocSummary_MLM_NominalPval,RNA_Concentration_PostHocSummary_MLM_NominalPval,(Intercept)_PostHocSummary_MLM_FDR,Diagnosis_BP_PostHocSummary_MLM_FDR,Diagnosis_Schiz_PostHocSummary_MLM_FDR,Age_PostHocSummary_MLM_FDR,Gender_F_PostHocSummary_MLM_FDR,pH_PostHocSummary_MLM_FDR,PMI_PostHocSummary_MLM_FDR,Integrity_RIN_PostHocSummary_MLM_FDR,RNA_Concentration_PostHocSummary_MLM_FDR
GABRG1,69,133,2,1,35,2.333,0.609,5.035,0.104,2.502,2.152,1.399,7.470,200.944,1.266E-01,7.38E-01,2.48E-02,7.48E-01,1.14E-01,1.42E-01,2.37E-01,6.28E-03,3.50E-25,1.79E-01,8.44E-01,5.30E-02,9.03E-01,2.74E-01,2.59E-01,3.99E-01,3.07E-02,7.92E-25,69,133,1,1,35,60,29,2.5068,0.0292,0.0574,-0.0057,-0.0361,-0.3589,-0.0073,-0.0756,0.0014,2.00617,0.09768,0.09001,0.00312,0.13722,0.27736,0.00605,0.07817,0.00065,1.250,0.299,0.637,-1.835,-0.263,-1.294,-1.200,-0.967,2.236,2.16E-01,7.66E-01,5.26E-01,7.14E-02,7.93E-01,2.01E-01,2.35E-01,3.37E-01,2.91E-02,3.02E-01,9.33E-01,8.46E-01,1.50E-01,9.48E-01,4.74E-01,4.05E-01,5.67E-01,1.36E-01
GABRG2,69,133,2,1,35,0.553,3.712,9.628,2.859,0.501,2.307,3.666,2.335,700.164,4.571E-01,1.56E-01,1.92E-03,9.08E-02,4.79E-01,1.29E-01,5.55E-02,1.27E-01,1.07E-124,5.30E-01,4.37E-01,6.08E-03,5.69E-01,6.70E-01,2.44E-01,1.40E-01,2.60E-01,5.93E-123,69,133,1,1,35,60,29,-0.8968,0.1004,0.0824,0.0058,0.1395,0.1180,0.0055,0.0900,0.0006,1.47440,0.07180,0.06615,0.00229,0.10081,0.20384,0.00445,0.05744,0.00048,-0.608,1.398,1.246,2.538,1.383,0.579,1.243,1.566,1.250,5.45E-01,1.67E-01,2.18E-01,1.38E-02,1.72E-01,5.65E-01,2.19E-01,1.23E-01,2.16E-01,6.32E-01,5.99E-01,7.32E-01,4.36E-02,8.42E-01,7.89E-01,3.98E-01,3.02E-01,4.24E-01
GABRG3,69,133,2,1,35,7.200,0.069,7.578,0.514,1.621,6.307,2.276,3.693,130.235,7.289E-03,9.66E-01,5.91E-03,4.74E-01,2.03E-01,1.20E-02,1.31E-01,5.46E-02,6.88E-13,1.44E-02,9.75E-01,1.58E-02,7.86E-01,3.83E-01,7.51E-02,2.70E-01,1.34E-01,9.66E-13,69,133,1,1,35,60,29,-3.8141,0.0056,0.0166,-0.0061,-0.0698,0.2501,0.0108,-0.0836,0.0009,1.73759,0.08446,0.07797,0.00269,0.11912,0.24016,0.00525,0.06778,0.00056,-2.195,0.067,0.213,-2.252,-0.586,1.042,2.054,-1.234,1.572,3.20E-02,9.47E-01,8.32E-01,2.80E-02,5.60E-01,3.02E-01,4.43E-02,2.22E-01,1.21E-01,6.24E-02,1.00E+00,9.33E-01,7.39E-02,8.96E-01,5.56E-01,2.24E-01,4.56E-01,2.84E-01
GABRQ,69,133,2,1,35,3.178,0.408,16.018,1.230,0.004,0.775,0.710,2.432,207.799,7.462E-02,8.15E-01,6.27E-05,2.67E-01,9.51E-01,3.79E-01,3.99E-01,1.19E-01,1.96E-26,1.10E-01,8.79E-01,3.17E-04,6.68E-01,9.61E-01,5.06E-01,5.47E-01,2.54E-01,4.95E-26,69,133,1,1,35,60,29,-4.4672,0.0191,-0.0558,-0.0155,0.1906,0.0215,-0.0067,-0.0824,0.0013,3.06314,0.14884,0.13745,0.00474,0.21006,0.42335,0.00925,0.11950,0.00098,-1.458,0.128,-0.406,-3.274,0.907,0.051,-0.720,-0.689,1.276,1.50E-01,8.98E-01,6.86E-01,1.76E-03,3.68E-01,9.60E-01,4.74E-01,4.93E-01,2.07E-01,2.21E-01,9.75E-01,8.81E-01,8.15E-03,8.42E-01,9.68E-01,6.34E-01,6.68E-01,4.24E-01
GABRR2,69,133,2,1,35,0.002,1.408,2.910,3.272,5.276,0.209,4.562,2.093,112.833,9.628E-01,4.95E-01,8.81E-02,7.05E-02,2.16E-02,6.47E-01,3.27E-02,1.48E-01,4.08E-10,9.79E-01,7.13E-01,1.63E-01,5.59E-01,1.10E-01,7.72E-01,9.07E-02,2.78E-01,4.97E-10,69,133,1,1,35,60,29,0.1183,-0.0050,0.1208,-0.0068,-0.3127,-0.8067,-0.0035,-0.2108,-0.0012,3.10459,0.15157,0.13925,0.00485,0.21132,0.42932,0.00934,0.12066,0.00101,0.038,-0.033,0.868,-1.395,-1.480,-1.879,-0.374,-1.747,-1.183,9.70E-01,9.74E-01,3.89E-01,1.68E-01,1.44E-01,6.51E-02,7.09E-01,8.57E-02,2.41E-01,9.82E-01,1.00E+00,8.32E-01,3.06E-01,8.42E-01,3.22E-01,8.47E-01,2.32E-01,4.32E-01
GAD1,69,133,2,1,35,10.078,6.620,7.876,7.073,9.876,3.887,17.737,0.668,203.894,1.500E-03,3.65E-02,5.01E-03,7.82E-03,1.67E-03,4.87E-02,2.54E-05,4.14E-01,1.01E-25,3.87E-03,2.57E-01,1.46E-02,2.62E-01,3.80E-02,1.28E-01,4.98E-04,5.30E-01,2.35E-25,69,133,1,1,35,60,29,-3.9738,-0.0219,-0.1384,-0.0055,-0.2270,0.5439,0.0074,0.2051,-0.0003,1.53011,0.07464,0.06864,0.00239,0.10433,0.21158,0.00461,0.05952,0.00050,-2.597,-0.293,-2.016,-2.296,-2.176,2.571,1.613,3.445,-0.669,1.18E-02,7.71E-01,4.83E-02,2.52E-02,3.35E-02,1.26E-02,1.12E-01,1.05E-03,5.06E-01,2.67E-02,9.33E-01,3.35E-01,7.11E-02,8.40E-01,2.26E-01,2.86E-01,1.77E-02,6.31E-01
GLS,69,133,2,1,35,7.575,4.329,0.258,0.616,5.261,1.869,11.657,0.201,124.687,5.919E-03,1.15E-01,6.12E-01,4.33E-01,2.18E-02,1.72E-01,6.40E-04,6.54E-01,5.45E-12,1.19E-02,3.86E-01,7.22E-01,7.74E-01,1.10E-01,2.80E-01,4.44E-03,7.33E-01,7.29E-12,69,133,1,1,35,60,29,-4.0954,0.1396,0.0059,0.0012,-0.0798,0.4719,0.0061,0.1978,-0.0002,1.81899,0.08864,0.08160,0.00283,0.12426,0.25151,0.00548,0.07083,0.00059,-2.251,1.575,0.072,0.415,-0.642,1.876,1.118,2.793,-0.367,2.80E-02,1.21E-01,9.43E-01,6.79E-01,5.23E-01,6.55E-02,2.68E-01,7.00E-03,7.15E-01,5.66E-02,5.99E-01,9.61E-01,7.94E-01,8.96E-01,3.22E-01,4.13E-01,4.86E-02,8.01E-01
GLUL,69,133,2,1,35,12.523,1.522,2.720,4.111,1.728,5.832,0.712,1.339,127.207,4.019E-04,4.67E-01,9.91E-02,4.26E-02,1.89E-01,1.57E-02,3.99E-01,2.47E-01,2.14E-12,1.31E-03,7.01E-01,1.75E-01,5.59E-01,3.74E-01,7.51E-02,5.47E-01,3.92E-01,2.93E-12,69,133,1,1,35,60,29,7.1897,-0.0006,-0.1023,-0.0052,-0.2825,-0.3691,-0.0148,-0.0669,0.0008,2.48359,0.12067,0.11145,0.00385,0.17034,0.34324,0.00750,0.09689,0.00080,2.895,-0.005,-0.918,-1.349,-1.659,-1.075,-1.975,-0.690,0.947,5.28E-03,9.96E-01,3.62E-01,1.82E-01,1.02E-01,2.86E-01,5.28E-02,4.93E-01,3.48E-01,1.63E-02,1.00E+00,8.32E-01,3.21E-01,8.42E-01,5.48E-01,2.24E-01,6.68E-01,5.44E-01
GNAI1,69,133,2,1,35,16.563,2.129,0.802,0.310,9.463,0.111,6.853,13.081,280.574,4.707E-05,3.45E-01,3.71E-01,5.78E-01,2.10E-03,7.39E-01,8.85E-03,2.98E-04,4.18E-40,2.54E-04,6.34E-01,4.78E-01,8.51E-01,3.80E-02,8.39E-01,3.51E-02,5.56E-03,2.11E-39,69,133,1,1,35,60,29,-4.0027,0.0686,0.0383,-0.0014,-0.0373,0.4184,0.0010,0.1000,0.0012,1.20231,0.05871,0.05393,0.00188,0.08180,0.16626,0.00362,0.04671,0.00039,-3.329,1.168,0.711,-0.732,-0.456,2.516,0.272,2.141,2.959,1.49E-03,2.47E-01,4.80E-01,4.67E-01,6.50E-01,1.45E-02,7.87E-01,3.63E-02,4.42E-03,6.21E-03,5.99E-01,8.32E-01,6.02E-01,9.29E-01,2.26E-01,8.88E-01,1.30E-01,7.72E-02
GNAQ,69,133,2,1,35,1.054,9.720,1.345,1.090,1.535,0.064,5.260,29.104,419.014,3.047E-01,7.75E-03,2.46E-01,2.97E-01,2.15E-01,8.00E-01,2.18E-02,6.86E-08,2.60E-67,3.82E-01,1.08E-01,3.59E-01,6.68E-01,3.92E-01,8.79E-01,6.54E-02,7.61E-06,4.81E-66,69,133,1,1,35,60,29,-0.7635,0.0815,0.0968,-0.0014,-0.0525,0.1274,0.0006,0.0660,0.0013,0.90923,0.04448,0.04076,0.00143,0.06149,0.12569,0.00273,0.03520,0.00030,-0.840,1.832,2.375,-0.949,-0.854,1.014,0.208,1.876,4.413,4.04E-01,7.19E-02,2.08E-02,3.47E-01,3.97E-01,3.15E-01,8.36E-01,6.55E-02,4.31E-05,4.95E-01,5.99E-01,3.35E-01,5.00E-01,8.44E-01,5.64E-01,9.19E-01,1.91E-01,4.78E-03
GPHN,69,133,2,1,35,21.470,16.343,3.419,2.656,0.213,3.885,8.085,4.143,154.476,3.594E-06,2.83E-04,6.44E-02,1.03E-01,6.45E-01,4.87E-02,4.46E-03,4.18E-02,5.96E-17,5.70E-05,1.73E-02,1.21E-01,5.69E-01,7.96E-01,1.28E-01,2.25E-02,1.16E-01,9.31E-17,69,133,1,1,35,60,29,-3.8384,0.1559,0.1012,-0.0024,-0.0914,0.0528,0.0049,0.0913,0.0006,1.01261,0.04952,0.04540,0.00159,0.06857,0.14000,0.00304,0.03923,0.00033,-3.791,3.148,2.230,-1.513,-1.333,0.377,1.613,2.326,1.665,3.51E-04,2.56E-03,2.95E-02,1.36E-01,1.87E-01,7.07E-01,1.12E-01,2.34E-02,1.01E-01,3.54E-03,2.03E-01,3.35E-01,2.51E-01,8.42E-01,8.66E-01,2.86E-01,1.08E-01,2.64E-01
GRIA1,69,133,2,1,35,3.158,3.142,17.656,0.436,4.480,6.253,2.907,10.077,431.191,7.554E-02,2.08E-01,2.65E-05,5.09E-01,3.43E-02,1.24E-02,8.82E-02,1.50E-03,9.44E-70,1.10E-01,4.91E-01,1.55E-04,7.96E-01,1.39E-01,7.51E-02,2.04E-01,1.39E-02,2.10E-68,69,133,1,1,35,60,29,-1.4883,0.0717,0.0355,-0.0055,-0.0378,0.2451,0.0063,-0.0556,0.0009,1.02374,0.04989,0.04593,0.00159,0.06993,0.14155,0.00309,0.03986,0.00033,-1.454,1.438,0.773,-3.437,-0.540,1.731,2.046,-1.395,2.597,1.51E-01,1.56E-01,4.42E-01,1.07E-03,5.91E-01,8.85E-02,4.52E-02,1.68E-01,1.18E-02,2.21E-01,5.99E-01,8.32E-01,5.96E-03,9.24E-01,3.42E-01,2.24E-01,3.81E-01,1.09E-01
GRIA2,69,133,2,1,35,0.030,5.130,5.561,0.026,0.929,2.677,0.497,4.093,257.643,8.629E-01,7.69E-02,1.84E-02,8.73E-01,3.35E-01,1.02E-01,4.81E-01,4.31E-02,9.88E-36,9.04E-01,3.18E-01,4.08E-02,9.80E-01,5.31E-01,2.12E-01,6.07E-01,1.16E-01,3.92E-35,69,133,1,1,35,60,29,0.1579,0.0988,0.0557,-0.0034,0.0100,0.1219,0.0045,0.0251,0.0006,1.11782,0.05452,0.05014,0.00174,0.07625,0.15457,0.00337,0.04350,0.00036,0.141,1.812,1.110,-1.929,0.131,0.788,1.338,0.576,1.655,8.88E-01,7.50E-02,2.71E-01,5.85E-02,8.96E-01,4.34E-01,1.86E-01,5.66E-01,1.03E-01,9.30E-01,5.99E-01,7.81E-01,1.30E-01,9.94E-01,6.68E-01,3.69E-01,6.99E-01,2.64E-01
GRIA3,69,133,2,1,35,0.003,0.892,3.519,0.009,1.003,9.572,1.535,9.549,292.791,9.556E-01,6.40E-01,6.07E-02,9.25E-01,3.17E-01,1.98E-03,2.15E-01,2.00E-03,1.87E-42,9.79E-01,7.99E-01,1.16E-01,9.87E-01,5.22E-01,2.85E-02,3.86E-01,1.59E-02,1.04E-41,69,133,1,1,35,60,29,-0.0471,0.0279,0.0334,-0.0025,-0.0055,0.1171,0.0079,-0.0407,0.0008,1.03356,0.05043,0.04636,0.00161,0.07045,0.14292,0.00311,0.04020,0.00033,-0.046,0.553,0.721,-1.535,-0.078,0.819,2.531,-1.013,2.528,9.64E-01,5.83E-01,4.74E-01,1.30E-01,9.38E-01,4.16E-01,1.40E-02,3.15E-01,1.41E-02,9.82E-01,8.81E-01,8.32E-01,2.47E-01,9.94E-01,6.59E-01,1.99E-01,5.59E-01,1.12E-01
GRIA4,69,133,2,1,35,20.007,0.939,4.853,0.018,4.463,12.288,9.276,7.282,389.170,7.716E-06,6.25E-01,2.76E-02,8.93E-01,3.46E-02,4.56E-04,2.32E-03,6.97E-03,2.34E-61,8.21E-05,7.89E-01,5.78E-02,9.81E-01,1.39E-01,1.69E-02,1.43E-02,3.09E-02,3.71E-60,69,133,1,1,35,60,29,-3.7227,0.0132,-0.0259,-0.0029,0.0076,0.2431,0.0088,0.0984,0.0007,1.01742,0.04971,0.04563,0.00159,0.06911,0.14069,0.00306,0.03949,0.00033,-3.659,0.265,-0.568,-1.802,0.111,1.728,2.868,2.491,2.207,5.36E-04,7.92E-01,5.72E-01,7.66E-02,9.12E-01,8.91E-02,5.70E-03,1.55E-02,3.11E-02,3.95E-03,9.33E-01,8.66E-01,1.57E-01,9.94E-01,3.42E-01,1.99E-01,8.60E-02,1.36E-01
GRIK1,69,133,2,1,35,4.494,5.484,43.998,8.272,3.855,0.817,0.541,4.059,192.907,3.401E-02,6.44E-02,3.29E-11,4.03E-03,4.96E-02,3.66E-01,4.62E-01,4.39E-02,9.99E-24,5.90E-02,3.02E-01,1.22E-09,2.23E-01,1.67E-01,4.95E-01,5.96E-01,1.16E-01,2.09E-23,69,133,1,1,35,60,29,-2.4086,-0.0799,-0.1162,-0.0117,-0.2232,0.3085,0.0031,-0.0325,0.0007,1.38890,0.06768,0.06231,0.00216,0.09489,0.19204,0.00419,0.05409,0.00045,-1.734,-1.180,-1.864,-5.426,-2.353,1.606,0.739,-0.602,1.648,8.80E-02,2.42E-01,6.72E-02,1.09E-06,2.19E-02,1.13E-01,4.62E-01,5.50E-01,1.05E-01,1.51E-01,5.99E-01,4.15E-01,4.03E-05,8.40E-01,3.60E-01,6.26E-01,6.99E-01,2.64E-01
GRIK2,69,133,2,1,35,16.792,6.076,2.569,0.499,3.175,10.771,0.351,7.835,250.018,4.171E-05,4.79E-02,1.09E-01,4.80E-01,7.48E-02,1.03E-03,5.53E-01,5.13E-03,2.74E-34,2.54E-04,2.96E-01,1.89E-01,7.86E-01,2.06E-01,2.36E-02,6.55E-01,2.84E-02,9.79E-34,69,133,1,1,35,60,29,-3.3146,0.0956,0.0213,-0.0020,-0.0389,0.1993,0.0080,0.0186,0.0007,0.98880,0.04828,0.04435,0.00155,0.06729,0.13674,0.00297,0.03842,0.00032,-3.352,1.980,0.480,-1.311,-0.578,1.458,2.685,0.485,2.290,1.39E-03,5.23E-02,6.33E-01,1.95E-01,5.65E-01,1.50E-01,9.37E-03,6.30E-01,2.56E-02,6.21E-03,5.99E-01,8.66E-01,3.33E-01,8.96E-01,4.05E-01,1.99E-01,7.28E-01,1.36E-01
GRIK4,69,133,2,1,35,9.474,4.056,25.746,2.092,0.228,2.654,1.073,0.740,228.442,2.084E-03,1.32E-01,3.89E-07,1.48E-01,6.33E-01,1.03E-01,3.00E-01,3.90E-01,3.03E-30,4.82E-03,4.03E-01,3.60E-06,5.99E-01,7.96E-01,2.12E-01,4.68E-01,5.21E-01,8.85E-30,69,133,1,1,35,60,29,-4.2378,0.1341,0.0400,-0.0108,-0.1364,0.0909,0.0068,0.0556,0.0004,1.68310,0.08184,0.07552,0.00261,0.11532,0.23264,0.00508,0.06564,0.00054,-2.518,1.638,0.530,-4.151,-1.183,0.391,1.333,0.847,0.704,1.45E-02,1.07E-01,5.98E-01,1.06E-04,2.41E-01,6.97E-01,1.88E-01,4.00E-01,4.84E-01,3.09E-02,5.99E-01,8.66E-01,9.83E-04,8.42E-01,8.66E-01,3.69E-01,6.17E-01,6.18E-01
GRIK5,69,133,2,1,35,0.585,4.032,22.480,0.267,0.084,1.104,7.033,0.485,240.507,4.443E-01,1.33E-01,2.12E-06,6.06E-01,7.73E-01,2.93E-01,8.00E-03,4.86E-01,1.69E-32,5.25E-01,4.03E-01,1.81E-05,8.51E-01,8.75E-01,4.28E-01,3.29E-02,5.93E-01,5.20E-32,69,133,1,1,35,60,29,0.6162,0.0506,0.0700,-0.0059,-0.0284,-0.0322,0.0026,-0.0832,0.0002,0.98488,0.04800,0.04418,0.00153,0.06725,0.13618,0.00297,0.03834,0.00032,0.626,1.055,1.585,-3.879,-0.422,-0.236,0.860,-2.169,0.570,5.34E-01,2.96E-01,1.18E-01,2.63E-04,6.74E-01,8.14E-01,3.93E-01,3.40E-02,5.71E-01,6.30E-01,5.99E-01,5.71E-01,2.16E-03,9.45E-01,9.20E-01,5.75E-01,1.26E-01,6.82E-01
GRIN1,69,133,2,1,35,10.980,3.702,2.783,1.135,0.238,5.740,4.397,8.139,199.542,9.208E-04,1.57E-01,9.53E-02,2.87E-01,6.25E-01,1.66E-02,3.60E-02,4.33E-03,6.29E-25,2.56E-03,4.37E-01,1.71E-01,6.68E-01,7.96E-01,7.51E-02,9.75E-02,2.53E-02,1.40E-24,69,133,1,1,35,60,29,2.6361,0.0466,0.0666,-0.0021,0.0579,0.0537,0.0057,-0.0649,0.0007,0.97247,0.04741,0.04363,0.00151,0.06638,0.13447,0.00293,0.03785,0.00031,2.711,0.983,1.528,-1.365,0.872,0.399,1.960,-1.715,2.334,8.74E-03,3.29E-01,1.32E-01,1.77E-01,3.87E-01,6.91E-01,5.47E-02,9.15E-02,2.30E-02,2.21E-02,6.30E-01,5.85E-01,3.18E-01,8.42E-01,8.66E-01,2.24E-01,2.42E-01,1.34E-01
GRIN2A,69,133,2,1,35,4.827,1.128,19.468,0.039,4.128,2.629,7.054,1.035,122.409,2.802E-02,5.69E-01,1.02E-05,8.44E-01,4.22E-02,1.05E-01,7.91E-03,3.09E-01,1.26E-11,5.10E-02,7.44E-01,7.10E-05,9.66E-01,1.56E-01,2.12E-01,3.29E-02,4.56E-01,1.65E-11,69,133,1,1,35,60,29,-2.3083,0.0541,0.0168,-0.0072,0.0141,0.2952,0.0051,0.1087,0.0003,1.28437,0.06258,0.05762,0.00200,0.08775,0.17758,0.00387,0.05002,0.00041,-1.797,0.865,0.291,-3.609,0.161,1.662,1.326,2.173,0.832,7.73E-02,3.90E-01,7.72E-01,6.27E-04,8.73E-01,1.02E-01,1.90E-01,3.38E-02,4.09E-01,1.41E-01,6.99E-01,9.17E-01,4.35E-03,9.94E-01,3.53E-01,3.69E-01,1.26E-01,5.98E-01
GRIN2B,69,133,2,1,35,0.011,3.637,36.535,0.255,0.827,2.576,0.332,7.405,157.662,9.170E-01,1.62E-01,1.50E-09,6.14E-01,3.63E-01,1.08E-01,5.64E-01,6.50E-03,1.69E-17,9.51E-01,4.37E-01,3.33E-08,8.51E-01,5.52E-01,2.15E-01,6.59E-01,3.07E-02,2.71E-17,69,133,1,1,35,60,29,-0.1194,0.1034,0.0605,-0.0107,-0.0396,0.1439,0.0055,0.0257,0.0010,1.39962,0.06813,0.06280,0.00217,0.09577,0.19349,0.00422,0.05455,0.00045,-0.085,1.518,0.963,-4.945,-0.413,0.744,1.313,0.471,2.226,9.32E-01,1.34E-01,3.39E-01,6.47E-06,6.81E-01,4.60E-01,1.94E-01,6.39E-01,2.98E-02,9.67E-01,5.99E-01,8.01E-01,1.44E-04,9.45E-01,6.87E-01,3.72E-01,7.31E-01,1.36E-01
GRIN2C,69,133,2,1,35,4.608,1.594,2.124,1.315,9.315,2.717,1.124,0.800,241.368,3.181E-02,4.51E-01,1.45E-01,2.52E-01,2.27E-03,9.93E-02,2.89E-01,3.71E-01,1.16E-32,5.61E-02,6.90E-01,2.42E-01,6.68E-01,3.80E-02,2.12E-01,4.68E-01,5.02E-01,3.69E-32,69,133,1,1,35,60,29,5.5838,-0.1584,-0.0789,-0.0059,-0.2042,-1.0974,-0.0129,-0.1075,0.0007,3.17969,0.15469,0.14267,0.00493,0.21774,0.43954,0.00959,0.12396,0.00102,1.756,-1.024,-0.553,-1.192,-0.938,-2.497,-1.348,-0.867,0.732,8.42E-02,3.10E-01,5.82E-01,2.38E-01,3.52E-01,1.53E-02,1.83E-01,3.89E-01,4.67E-01,1.48E-01,6.15E-01,8.66E-01,3.94E-01,8.42E-01,2.26E-01,3.69E-01,6.16E-01,6.11E-01
GRM1,69,133,2,1,35,25.281,3.434,4.152,0.858,4.284,3.461,14.194,0.202,88.574,4.955E-07,1.80E-01,4.16E-02,3.54E-01,3.85E-02,6.29E-02,1.65E-04,6.53E-01,1.55E-06,1.10E-05,4.53E-01,8.25E-02,7.02E-01,1.47E-01,1.52E-01,1.83E-03,7.33E-01,1.67E-06,69,133,1,1,35,60,29,-7.2407,0.1096,0.1008,-0.0046,0.0910,0.4122,0.0081,0.2111,0.0002,1.76036,0.08586,0.07897,0.00274,0.12007,0.24342,0.00530,0.06849,0.00057,-4.113,1.276,1.276,-1.667,0.758,1.693,1.522,3.082,0.367,1.21E-04,2.07E-01,2.07E-01,1.01E-01,4.52E-01,9.56E-02,1.33E-01,3.10E-03,7.15E-01,2.02E-03,5.99E-01,7.17E-01,1.96E-01,8.94E-01,3.42E-01,3.22E-01,3.11E-02,8.01E-01
GRM2,69,133,2,1,35,17.452,1.124,12.876,0.238,8.746,6.089,0.939,7.368,180.127,2.947E-05,5.70E-01,3.33E-04,6.26E-01,3.10E-03,1.36E-02,3.33E-01,6.64E-03,1.95E-21,2.04E-04,7.44E-01,1.27E-03,8.58E-01,3.83E-02,7.51E-02,4.99E-01,3.07E-02,3.80E-21,69,133,1,1,35,60,29,-7.1197,-0.0304,-0.0808,-0.0095,0.0570,0.6965,0.0127,0.0644,0.0015,2.08342,0.10119,0.09349,0.00322,0.14296,0.28792,0.00629,0.08130,0.00067,-3.417,-0.300,-0.865,-2.935,0.399,2.419,2.019,0.793,2.220,1.14E-03,7.65E-01,3.91E-01,4.72E-03,6.91E-01,1.86E-02,4.80E-02,4.31E-01,3.02E-02,6.03E-03,9.33E-01,8.32E-01,1.69E-02,9.48E-01,2.26E-01,2.24E-01,6.47E-01,1.36E-01
GRM3,69,133,2,1,35,10.264,0.305,18.519,0.781,1.595,0.097,13.939,20.322,232.261,1.356E-03,8.59E-01,1.68E-05,3.77E-01,2.07E-01,7.56E-01,1.89E-04,6.55E-06,5.89E-31,3.58E-03,8.99E-01,1.10E-04,7.15E-01,3.83E-01,8.39E-01,1.91E-03,3.63E-04,1.77E-30,69,133,1,1,35,60,29,-4.5673,-0.0382,-0.0169,-0.0095,-0.0861,0.2489,-0.0013,0.2074,0.0021,1.74271,0.08486,0.07819,0.00271,0.11918,0.24094,0.00526,0.06790,0.00056,-2.621,-0.451,-0.216,-3.520,-0.723,1.033,-0.254,3.054,3.688,1.11E-02,6.54E-01,8.30E-01,8.30E-04,4.73E-01,3.06E-01,8.00E-01,3.36E-03,4.89E-04,2.57E-02,8.96E-01,9.33E-01,5.12E-03,8.94E-01,5.56E-01,8.88E-01,3.11E-02,1.80E-02
GRM4,69,133,2,1,35,9.802,1.215,11.140,0.564,0.252,7.539,0.520,5.515,186.724,1.744E-03,5.45E-01,8.45E-04,4.52E-01,6.15E-01,6.04E-03,4.71E-01,1.89E-02,1.29E-22,4.12E-03,7.44E-01,2.97E-03,7.86E-01,7.94E-01,6.25E-02,6.01E-01,6.16E-02,2.61E-22,69,133,1,1,35,60,29,-4.4220,0.0216,0.0691,-0.0073,0.0724,0.0981,0.0117,-0.0396,0.0011,1.72662,0.08418,0.07746,0.00269,0.11786,0.23874,0.00520,0.06721,0.00056,-2.561,0.257,0.893,-2.730,0.615,0.411,2.246,-0.590,1.921,1.30E-02,7.98E-01,3.76E-01,8.29E-03,5.41E-01,6.83E-01,2.84E-02,5.57E-01,5.95E-02,2.82E-02,9.33E-01,8.32E-01,2.73E-02,8.96E-01,8.66E-01,2.24E-01,6.99E-01,1.83E-01
GRM5,69,133,2,1,35,13.527,7.291,5.137,0.771,2.409,2.031,24.536,0.151,197.286,2.352E-04,2.61E-02,2.34E-02,3.80E-01,1.21E-01,1.54E-01,7.29E-07,6.97E-01,1.61E-24,8.25E-04,2.41E-01,5.10E-02,7.15E-01,2.85E-01,2.71E-01,2.85E-05,7.59E-01,3.44E-24,69,133,1,1,35,60,29,-4.8045,0.1584,0.0043,-0.0046,-0.0781,0.2804,0.0056,0.2515,0.0002,1.59692,0.07796,0.07163,0.00250,0.10871,0.22083,0.00481,0.06207,0.00052,-3.009,2.032,0.060,-1.854,-0.718,1.270,1.166,4.052,0.318,3.83E-03,4.66E-02,9.52E-01,6.86E-02,4.75E-01,2.09E-01,2.48E-01,1.48E-04,7.52E-01,1.26E-02,5.99E-01,9.61E-01,1.47E-01,8.94E-01,4.84E-01,4.10E-01,5.48E-03,8.08E-01
GRM7,69,133,2,1,35,2.256,1.829,6.935,1.427,0.067,4.675,22.496,11.116,709.513,1.331E-01,4.01E-01,8.45E-03,2.32E-01,7.95E-01,3.06E-02,2.11E-06,8.56E-04,1.24E-126,1.82E-01,6.84E-01,2.09E-02,6.68E-01,8.83E-01,1.07E-01,5.84E-05,9.50E-03,1.38E-124,69,133,1,1,35,60,29,1.5900,-0.0697,-0.0245,-0.0043,0.0865,-0.0379,0.0069,-0.1956,0.0011,1.29414,0.06303,0.05806,0.00201,0.08848,0.17892,0.00390,0.05042,0.00042,1.229,-1.105,-0.422,-2.154,0.977,-0.212,1.769,-3.880,2.727,2.24E-01,2.73E-01,6.75E-01,3.53E-02,3.32E-01,8.33E-01,8.20E-02,2.62E-04,8.36E-03,3.05E-01,5.99E-01,8.81E-01,8.70E-02,8.42E-01,9.24E-01,2.59E-01,7.28E-03,9.28E-02
